"字段1","字段2_文本","字段2_链接","字段3_文本","字段3_链接","字段4","时间","字段5","时间1"
"10341","有用","javascript:;","凌睿","https://www.douban.com/people/lingrui1995/","看过","2018-12-03","精美绝伦的水下世界，宏伟瑰丽的海底奇观，堪称“海底《阿凡达》，水下潘多拉”。亚特兰蒂斯的史诗级战争气势磅礴，媲美《星球大战》和《指环王》。动作戏登峰造极，拳拳到肉，让人再次感受《钢铁之躯》的震撼。飞船追逐更是眼花缭乱，引人入胜，仿佛把《速度与激情》搬到了海底。寻找三叉戟的探险之旅同样其乐无穷，妙趣横生，又是《夺宝奇兵》的再现。影片核心又回归到对家庭的探索和对自我的肯定，承载着成长和母爱，自信和亲情。最后一个镜头让人热泪盈眶，正如托马斯终于等到与妻子重逢，我们也终于等到DC近几年最优秀的电影。温子仁如卡梅隆和彼得·杰克逊附体，拍了一部动作、冒险、奇幻、超英等元素的集大成者。它是《黑暗骑士》之后最好的超级英雄电影之一，从此影史将记住《海王》的名字。",
"6150","有用","javascript:;","陆支羽","https://www.douban.com/people/luzhiyu/","看过","2018-12-04","4.5。1.从造梦层面而言，温子仁真的远超我的预期；如果你觉得这也算失手，那我无话可说，只能闭嘴。2.这场梦始于失落的亚特兰蒂斯，继而又按图索骥，如探索迷宫般牵引出整座深海帝国的神秘版图，看似不过闯关游戏式的老套路，其实还是以西方古典神话为模本的，类似亚瑟王寻找圣杯。3.固然温子仁并没有全然秉承DC的暗黑风格，但那场海王亚瑟与守护三叉戟的海怪之间的对话，着实是以DC的方式丰满了角色。4.要说不足，西西里跑酷略显脱节，而海底决战时刻有点场面失控。",
"5311","有用","javascript:;","无耻不混蛋","https://www.douban.com/people/miumiu-li/","看过","2018-12-04","温子仁就是“狂”，并且简直就是个“技术狂人”啊。斯皮尔伯格、卢卡斯、卡梅隆之后，就是温子仁了。世界顶级技术型导演，从此以后，有了一名华裔，温子仁！！！他怎么可以把一部超英片，拍得如此上天入海、天花乱坠、无所不用其极啊。",
"4483","有用","javascript:;","晚不安","https://www.douban.com/people/yellowmoonbird/","看过","2018-12-07","即便已经降低期待值，内心还是毫无波动，甚至翻了十几个白眼，感觉这届观众对DC特别宽容。充其量跟过誉的《神奇女侠》打个平手，说《蝙蝠侠》以后DC最佳我已经大跌眼镜，还拿它跟《指环王》相提并论，How dare u?搞几场模式化的大阵仗、扯个宏大世界观就叫史诗感？不过黑豹+雷神mix而已，核心故事是一个武夫捡了黄金装备以后，轻松打败白银装备然后靠血统称王，没看到一点人物弧光，价值观也是陈腐的。叙事处处落入窠臼，三条故事线基本上各自为政，而爱情和亲情的情感线也是羸弱不堪的，你所谓的叙事效率高在我这只觉得冗长。发完这条肯定有人觉得我是对面漫威派来的黑粉，但是我要告诉大家，我爱《蝙蝠侠》，我也爱渣导的MoS和BVS，那里面有人性的挣扎和纠缠，但是《海王》没有。21世纪的超英片绝不能止步于视觉奇观。",
"4457","有用","javascript:;","影志","https://www.douban.com/people/tjz230/","看过","2018-12-05","海底世界戏份多到超出想象，这是一部主打海洋英雄的片应有的样子，一本满足。撒哈拉沙漠、西西里岛、海沟族追逐戏、地心藏海…奔波全球海洋奇观，上天入地，美不胜收。温子仁手下的DC，不再暗黑，情节跌宕又完整，正如他的恐怖片一样吸人，吸入深海底。亚特兰蒂斯与亚瑟的历史传说，完美融入超级英雄剧情，陆地之子抑或海洋之王，海王不止粗汉也有柔情，三叉戟秒变金箍棒，这不就是《西游记之大闹龙宫》？红发女主的造型很美，特别是水母服。“海洋的世界里没有眼泪” 几十年的灯塔守护直接戳泪，爱一个人不就是这样的无私与痴情？2018最佳娱乐大赏，《狮子王》版《海底总动员》，《黑暗骑士》后最好的DC院线片。",
"2139","有用","javascript:;","Ada Wang","https://www.douban.com/people/adakenndy/","看过","2018-12-07","建议JL电影所有负责人全体跪着看完海王自我反省写1000字检讨！ 👍温导亲自示范教如何拿1.6亿拍出3亿的史诗效果。如果女侠拯救了DC，那温导海王就是惊艳了DCEU！谨代表所有漫改粉公车上书强烈要求华纳令温子仁掌舵DC宇宙！和以往所有的超级英雄电影都不同，仰拍俯拍长镜头用到炉火纯青，总结就是气势恢宏，格局庞大。华纳DC定律：动画电影拍的一般的，真人电影都不错。视觉效果星球大战+阿凡达+哥斯拉，无需再多赘述赞美之语，海王亚瑟举起波赛冬三叉戟那一刻正式象征着DC继诺兰蝙蝠侠三部曲之后再次崛起势不可挡！再拍第二个BVS和对路人不友好DCEU就是死路一条！DC宇宙需要多元化发展而不是抱残守缺死守一角！先在竞争激烈的市场活下去，再探讨人性，顺序不能乱！",
"2176","有用","javascript:;","AZWayne","https://www.douban.com/people/60307113/","看过","2018-12-07","马王没能统一的七国终于在变身海王后统一七海了。",
"1567","有用","javascript:;","木卫二","https://www.douban.com/people/MovieL/","看过","2018-12-07","一出爽片，告诉D家还是别玩深沉，适当鸡汤、疯狂爆米花，这不就挺好。放几个微博号，拔高至电影史，完全不必——太像一堆水炮。电影算好看啦，问题有超级英雄的自身软肋，像除了不想当海王，就没有性格毛病了。温子仁花大气力构筑的不同场景，确实花哨诡奇，但始终难以统一，比如那段跑酷的必要性，比如两次大场面，全部靠鱼海对决，看多了还是一个样。角色参与感太弱，尽管虾兵蟹将死那么多，who cares。一致叫好的海沟族，是照恐怖片的惊骇拍法，私货刺激，构思清奇（却还是解决不了我的困惑：主人公在海里像鱼雷速度，坐人类小船飘啊摇的干嘛）。至于夺王位的故事，全部是抡叉撸铁的蛮力角斗，打不死不说，挂个彩都好难。最后，那位苍蝇头反派，真的不是用来搞笑吗",
"1929","有用","javascript:;","蜕变","https://www.douban.com/people/115812153/","看过","2018-12-07","画面很美，剧情好无聊啊，好想睡觉💤！",
"1524","有用","javascript:;","正义B胜","https://www.douban.com/people/imoviekobe/","看过","2018-12-07","太傻了，太傻了，真的太傻了。DC拍来拍去，依然只知道毁东西。你告诉我：水下战斗和超人砸楼，有啥区别？？？海王完全是个纸片人设，毫无辨识度。没错，选个好的IMAX厅，是能爽到，但依然，太傻了，太傻了，真的太傻了。",
